V,I,G,P,no_module_fault,fault,partial_shading
138.12943,10.59856,902.28899,1463.973052,0,0,0
136.61461,10.50767,901.45973,1435.501239,0,0,0
136.36544,10.51992,901.43291,1434.55352,0,0,0
138.52473,10.53889,901.72267,1459.896892,0,0,0
138.64969,10.49381,901.64538,1454.963503,0,0,0
141.39296,10.4559,901.48272,1478.39065,0,0,0
140.04891,10.50583,901.75333,1471.33004,0,0,0
137.94398,10.53357,901.54127,1453.042569,0,0,0
137.39396,10.51317,901.55362,1444.446058,0,0,0
138.99397,10.50784,901.54553,1460.526398,0,0,0
139.97694,10.52445,901.81592,1473.180306,0,0,0
137.9784,10.50352,902.17573,1449.258884,0,0,0
136.93707,10.47513,902.09994,1434.43361,0,0,0
139.41057,10.50767,901.95878,1464.880264,0,0,0
139.32721,10.53727,902.09802,1468.12843,0,0,0
139.40429,10.49696,902.13996,1463.321256,0,0,0
139.43952,10.45958,902.38778,1458.478815,0,0,0
137.49246,10.54351,902.16381,1449.653127,0,0,0
138.42962,10.53916,902.13954,1458.931914,0,0,0
137.36724,10.49449,902.01435,1441.599127,0,0,0
135.6983,10.47941,902.07268,1422.038122,0,0,0
134.27494,10.58946,901.96836,1421.899106,0,0,0
137.01335,10.5471,902.299,1445.093504,0,0,0
136.58389,10.56987,902.13783,1443.673961,0,0,0
134.54086,10.59275,902.04309,1425.157695,0,0,0
133.03804,10.61741,902.26962,1412.519416,0,0,0
136.09329,10.59831,902.04501,1442.358876,0,0,0
139.67746,10.62624,902.08524,1484.246213,0,0,0
140.06425,10.62188,901.8832,1487.745656,0,0,0
139.61444,10.58082,901.99178,1477.235259,0,0,0
137.31536,10.60042,902.24577,1455.600488,0,0,0
136.47634,10.6157,901.79697,1448.791883,0,0,0
138.70294,10.60446,901.8932,1470.869779,0,0,0
137.80799,10.58354,901.95218,1458.496374,0,0,0
137.74031,10.58854,901.96623,1458.468782,0,0,0
139.46837,10.58101,902.10781,1475.716218,0,0,0
136.33335,10.61138,901.92152,1446.684984,0,0,0
138.03145,10.6042,902.01328,1463.713102,0,0,0
139.38501,10.59665,902.0812,1477.014166,0,0,0
134.81919,10.57098,901.85765,1425.170961,0,0,0
140.13809,10.58251,902.06566,1483.012739,0,0,0
137.88841,10.59159,901.54319,1460.457504,0,0,0
136.85214,10.64877,901.66667,1457.306963,0,0,0
137.96975,10.59926,901.38543,1462.377252,0,0,0
137.77033,10.58138,901.57364,1457.800214,0,0,0
138.32754,10.59639,901.72416,1465.772562,0,0,0
137.98179,10.62999,901.47549,1466.745048,0,0,0
136.74393,10.59041,901.64645,1448.174284,0,0,0
139.69618,10.63164,901.75524,1485.199495,0,0,0
139.62198,10.71854,901.86574,1496.543778,0,0,0
137.91721,10.68057,901.53467,1473.034416,0,0,0
136.14886,10.6942,901.60664,1456.003139,0,0,0
137.56711,10.68977,901.87362,1470.560765,0,0,0
138.24367,10.71318,901.88043,1481.029321,0,0,0
136.91698,10.73722,901.573,1470.107736,0,0,0
136.15494,10.69963,901.6424,1456.807481,0,0,0
136.5105,10.6778,901.7265,1457.631817,0,0,0
138.11369,10.66204,901.63857,1472.573687,0,0,0
137.63605,10.72079,901.73693,1475.567188,0,0,0
137.33505,10.71996,901.64751,1472.226243,0,0,0
134.68491,10.66402,901.4691,1436.282574,0,0,0
139.03456,10.57296,901.67391,1470.006841,0,0,0
135.6402,10.60231,901.80442,1438.099449,0,0,0
138.01545,10.58828,901.91535,1461.346229,0,0,0
136.5967,10.62129,901.69307,1450.833164,0,0,0
134.13717,10.60345,901.86063,1422.316775,0,0,0
