V,I,G,P,no_module_fault,fault,partial_shading
139.56272,9.79521,843.57717,1367.046151,0,0,0
139.95776,9.78814,843.49243,1369.926149,0,0,0
140.40255,9.79618,843.5695,1375.408652,0,0,0
140.26336,9.79948,843.51329,1374.507991,0,0,0
141.36938,9.81521,843.93995,1387.570152,0,0,0
141.39246,9.79692,843.54182,1385.210619,0,0,0
142.33175,9.779,843.426,1391.862183,0,0,0
140.8559,9.80862,843.48626,1381.601998,0,0,0
136.71756,9.81235,843.47753,1341.52055,0,0,0
137.01801,9.78482,843.58568,1340.696565,0,0,0
137.67786,9.83416,843.56886,1353.946104,0,0,0
143.35713,9.69361,843.67425,1389.648109,0,0,0
140.922,9.73313,843.97977,1371.612146,0,0,0
142.34977,9.70492,843.42473,1381.49313,0,0,0
140.69469,9.67613,843.33722,1361.380111,0,0,0
139.01249,9.70199,843.72237,1348.697788,0,0,0
141.34741,9.72677,843.61655,1374.853747,0,0,0
141.054,9.69007,843.46198,1366.823134,0,0,0
141.7387,9.70913,843.44389,1376.159464,0,0,0
138.80295,9.74567,843.44069,1352.727746,0,0,0
138.0523,9.70388,843.1933,1339.642953,0,0,0
140.95176,9.80205,843.48008,1381.616199,0,0,0
141.70155,9.77764,843.38534,1385.506743,0,0,0
138.4891,9.76252,843.34531,1352.002609,0,0,0
140.03459,9.79478,843.51372,1371.608001,0,0,0
139.66232,9.83955,843.4309,1374.214381,0,0,0
140.28077,9.79797,843.49073,1374.466776,0,0,0
140.09077,9.75868,843.49796,1367.100995,0,0,0
140.50332,9.79904,843.56205,1376.797653,0,0,0
143.14972,9.79506,843.38023,1402.160096,0,0,0
139.53923,9.76327,843.21608,1362.359178,0,0,0
142.4148,9.7676,842.71767,1391.0508,0,0,0
140.04628,9.76272,842.95101,1367.232619,0,0,0
139.57724,9.79417,843.01872,1367.043217,0,0,0
140.42705,9.79773,843.23609,1375.866321,0,0,0
141.80577,9.75956,843.07343,1383.961921,0,0,0
143.26785,9.81437,843.14965,1406.083689,0,0,0
138.59625,9.82123,843.13837,1361.185648,0,0,0
139.59855,9.79073,843.11836,1366.771711,0,0,0
141.65681,9.79155,843.3962,1387.039738,0,0,0
139.96844,9.80391,843.37853,1372.237989,0,0,0
137.86442,9.90457,843.01701,1365.487798,0,0,0
138.46672,9.88998,843.06215,1369.433091,0,0,0
140.00174,9.84145,843.08195,1377.820124,0,0,0
138.62034,9.84456,842.94314,1364.656254,0,0,0
140.68579,9.89746,842.94974,1392.431979,0,0,0
139.03972,9.90748,843.31465,1377.533245,0,0,0
140.34384,9.85869,843.49264,1383.606412,0,0,0
141.35779,9.87235,842.81944,1395.533578,0,0,0
138.27713,9.878,843.13262,1365.90149,0,0,0
137.37686,9.85907,843.0911,1354.408079,0,0,0
136.34515,9.86691,843.36362,1345.305324,0,0,0
138.79323,9.86438,843.58313,1369.109162,0,0,0
138.26634,9.85321,843.58249,1362.367284,0,0,0
141.15184,9.90151,843.52841,1397.616355,0,0,0
137.19237,9.88725,843.41642,1356.45526,0,0,0
139.89732,9.88058,843.20671,1382.266662,0,0,0
140.43975,9.87754,843.3632,1387.199248,0,0,0
138.27753,9.90076,843.53778,1369.052638,0,0,0
139.82393,9.9165,843.43282,1386.564002,0,0,0
138.97706,9.86713,843.40748,1371.304718,0,0,0
142.18902,9.87386,843.03958,1403.954477,0,0,0
137.68378,9.90527,843.46816,1363.795016,0,0,0
140.01196,9.85908,843.37831,1380.389115,0,0,0
138.63365,9.8317,843.23609,1363.004457,0,0,0
137.45065,9.90146,843.44687,1360.962113,0,0,0
137.71688,9.88059,843.32551,1360.724027,0,0,0
