V,I,G,P,no_module_fault,fault,partial_shading
138.98025,10.48715,894.58994,1457.506729,0,0,0
141.36512,10.41074,894.38108,1471.715509,0,0,0
138.24058,10.41754,894.52245,1440.126772,0,0,0
137.57046,10.4635,894.63933,1439.468508,0,0,0
137.3183,10.45276,894.49903,1435.355234,0,0,0
137.66986,10.41236,894.46135,1433.468143,0,0,0
140.38519,10.42935,894.83244,1464.126281,0,0,0
137.94444,10.43615,894.53884,1439.608868,0,0,0
138.36595,10.48869,894.51308,1451.277556,0,0,0
140.03535,10.43797,894.33339,1461.684782,0,0,0
138.74864,10.41123,894.59356,1444.544003,0,0,0
139.90314,10.44804,894.25994,1461.713603,0,0,0
139.14708,10.44962,894.31402,1454.03411,0,0,0
137.52141,10.42438,894.40131,1433.575436,0,0,0
139.30965,10.43378,894.21012,1453.52624,0,0,0
140.75953,10.43921,894.44772,1469.418293,0,0,0
137.88654,10.47436,894.19607,1444.273259,0,0,0
141.49065,10.47,894.50329,1481.407106,0,0,0
139.07267,10.49135,894.56418,1459.060056,0,0,0
138.73796,10.49958,894.48924,1456.69031,0,0,0
136.11855,10.4475,894.58355,1422.098551,0,0,0
139.85101,10.41646,894.64679,1456.752452,0,0,0
139.00131,10.43945,894.25164,1451.097226,0,0,0
139.35312,10.43951,894.48647,1454.77829,0,0,0
138.85584,10.44928,894.46326,1450.943552,0,0,0
134.62529,10.42082,894.35213,1402.905915,0,0,0
139.03324,10.45044,894.63337,1452.958533,0,0,0
139.53655,10.45903,894.49137,1459.416963,0,0,0
140.16765,10.35525,894.2576,1451.471058,0,0,0
139.22107,10.37309,894.53331,1444.152689,0,0,0
140.28017,10.33979,894.23226,1450.467499,0,0,0
138.77754,10.32038,894.24823,1432.236948,0,0,0
136.1432,10.36858,894.53757,1411.611661,0,0,0
139.60503,10.37834,894.72854,1448.868467,0,0,0
137.6816,10.37428,894.62975,1428.347469,0,0,0
140.45681,10.34002,894.46688,1452.326225,0,0,0
138.57721,10.36811,894.55715,1436.783757,0,0,0
140.33868,10.39338,894.4837,1458.59323,0,0,0
139.36552,10.3488,894.73621,1442.265893,0,0,0
138.78185,10.32866,894.65168,1433.430543,0,0,0
139.75338,10.36409,894.7015,1448.416608,0,0,0
140.12767,10.36707,894.58802,1452.713364,0,0,0
138.3655,10.3324,894.80476,1429.647692,0,0,0
142.07513,10.33913,894.81008,1468.933239,0,0,0
142.05955,10.3521,894.70768,1470.614668,0,0,0
138.02583,10.35229,894.84777,1428.88342,0,0,0
139.22456,10.32509,894.68213,1437.506112,0,0,0
138.20854,10.34532,894.92739,1429.811573,0,0,0
138.83727,10.43727,895.21652,1449.082073,0,0,0
137.45187,10.4616,895.18693,1437.966483,0,0,0
141.66005,10.45689,895.10645,1481.32356,0,0,0
139.40662,10.44733,895.2476,1456.426963,0,0,0
140.62166,10.43371,895.02746,1467.20562,0,0,0
136.81682,10.45211,894.95167,1430.024452,0,0,0
135.89175,10.45689,895.13093,1421.005082,0,0,0
139.20012,10.45634,895.06685,1455.523783,0,0,0
